,BATHRM,HF_BATHRM,HEAT,AC,ROOMS,BEDRM,AYB,YR_RMDL,EYB,PRICE,QUALIFIED,SALE_NUM,BLDG_NUM,FIREPLACES,USECODE,LANDAREA,SOURCE,CMPLX_NUM,LIVING_GBA,ZIPCODE,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,WARD,SQUARE,QUADRANT,SALEYEAR,SALEMONTH
128771,1,0,Hot Water Rad,N,3,1,1930.0,1,1930,244500.0,Q,3,1,0,16,330,Condominium,1532.0,442.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2017.0,2.0
128773,1,0,Hot Water Rad,N,3,1,1930.0,1,1930,265000.0,Q,3,1,0,16,376,Condominium,1532.0,503.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2017.0,11.0
128774,1,0,Hot Water Rad,N,3,1,1930.0,1,1930,282000.0,Q,3,1,0,16,398,Condominium,1532.0,533.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2017.0,6.0
128778,1,0,Hot Water Rad,N,3,1,1930.0,1,1930,239500.0,Q,3,1,0,16,330,Condominium,1532.0,442.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2015.0,7.0
128779,1,0,Hot Water Rad,N,2,0,1930.0,1,1930,187000.0,Q,5,1,0,16,244,Condominium,1532.0,327.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2016.0,11.0
128780,1,0,Hot Water Rad,N,3,1,1930.0,1,1930,297000.0,Q,6,1,0,16,376,Condominium,1532.0,503.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2018.0,6.0
128781,1,0,Hot Water Rad,N,3,1,1930.0,1,1930,264500.0,Q,3,1,0,16,398,Condominium,1532.0,533.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2015.0,5.0
128782,1,0,Hot Water Rad,N,3,1,1930.0,1,1930,320000.0,Q,4,1,0,16,428,Condominium,1532.0,573.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2017.0,7.0
128783,2,0,Hot Water Rad,N,3,1,1930.0,1,1930,416000.0,Q,5,1,0,16,528,Condominium,1532.0,707.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2016.0,1.0
128785,1,0,Hot Water Rad,N,3,1,1930.0,1,1930,242000.0,Q,3,1,0,16,330,Condominium,1532.0,442.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2015.0,4.0
128789,1,0,Hot Water Rad,N,3,1,1930.0,1,1930,287500.0,Q,1,1,0,16,428,Condominium,1532.0,573.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2013.0,11.0
128791,1,0,Hot Water Rad,N,3,1,1930.0,1,1930,291900.0,Q,4,1,0,16,481,Condominium,1532.0,644.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2018.0,2.0
128793,1,0,Hot Water Rad,N,2,0,1930.0,1,1930,180000.0,Q,1,1,0,16,293,Condominium,1532.0,392.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2013.0,8.0
128794,1,0,Hot Water Rad,N,2,0,1930.0,1,1930,187500.0,Q,3,1,0,16,262,Condominium,1532.0,351.0,20016.0,38.93066199,-77.07404336,Cleveland Park,Ward 3,1923,NW,2015.0,3.0
128796,2,1,Warm Cool,Y,5,2,1977.0,0,1977,601000.0,Q,1,1,1,17,499,Condominium,1076.0,1436.0,20007.0,38.92682074,-77.07428185,Observatory Circle,Ward 3,1930,NW,2012.0,12.0
128802,2,1,Warm Cool,Y,6,3,1977.0,0,1977,830000.0,Q,3,1,1,17,550,Condominium,1076.0,1590.0,20007.0,38.92682074,-77.07428185,Observatory Circle,Ward 3,1930,NW,2016.0,4.0
128803,2,1,Warm Cool,Y,5,2,1977.0,0,1977,744075.0,Q,4,1,1,17,507,Condominium,1076.0,1462.0,20007.0,38.92682074,-77.07428185,Observatory Circle,Ward 3,1930,NW,2014.0,10.0
128807,1,0,Ht Pump,Y,3,1,1985.0,1,1985,335000.0,Q,1,1,1,16,1027,Condominium,1657.0,754.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2011.0,8.0
128815,1,0,Ht Pump,Y,3,1,1985.0,1,1985,375000.0,Q,5,1,1,16,1027,Condominium,1657.0,762.0,20016.0,38.937773395,-77.07536841999999,Cleveland Park,Ward 3,1821,NW,2018.0,5.0
